search_method,_id,source,author,content,description,document_type,extraction_timestamp,publishedAt,title,url,urlToImage,date,type,language,rating,content_hash,record_date,overview,mention_date,mention_year,primary_keyword,document,keyword_score,matched_columns,keyword_rank,query_text,rank,distance,semantic_rank,semantic_score,rrf_score
keyword,69f79537c7d32a5f5b914579,newsapi_Apple_page_1.json,John Voorhees,"Its a new month and its F1 season, which means its time for a roundup of everything coming to Apple TV and Apple Arcade in May 2026. This month were adding F1 and other sports airing on Apple TV thi… [+5328 chars]","It’s a new month and it’s F1 season, which means it’s time for a roundup of everything coming to Apple TV and Apple Arcade in May 2026. This month we’re adding F1 and other sports airing on Apple TV this month, starting with tomorrow’s Miami Grand Prix, and c…",json,2026-05-03 18:38:11.037000+00:00,2026-05-02 17:42:32+00:00,Coming Soon: What’s Next on Apple TV and Apple Arcade in May 2026,https://www.macstories.net/news/coming-soon-whats-next-on-apple-tv-and-apple-arcade-in-may-2026/,https://cdn.macstories.net/untitled-19-1777740921988.png,,Unknown,unknown,3.0,,,"It’s a new month and it’s F1 season, which means it’s time for a roundup of everything coming to Apple TV and Apple Arcade in May 2026. This month we’re adding F1 and other sports airing on Apple TV this month, starting with tomorrow’s Miami Grand Prix, and c…",2026-05-02 00:00:00+00:00,2026,apple,"Title: Coming Soon: What’s Next on Apple TV and Apple Arcade in May 2026 | Overview: It’s a new month and it’s F1 season, which means it’s time for a roundup of everything coming to Apple TV and Apple Arcade in May 2026. This month we’re adding F1 and other sports airing on Apple TV this month, starting with tomorrow’s Miami Grand Prix, and c… | Keywords: apple | Description: It’s a new month and it’s F1 season, which means it’s time for a roundup of everything coming to Apple TV and Apple Arcade in May 2026. This month we’re adding F1 and other sports airing on Apple TV this month, starting with tomorrow’s Miami Grand Prix, and c… | Content: Its a new month and its F1 season, which means its time for a roundup of everything coming to Apple TV and Apple Arcade in May 2026. This month were adding F1 and other sports airing on Apple TV thi… [+5328 chars] | Source: newsapi_Apple_page_1.json | Document Type: json | Language: unknown",8.0,"title, overview, description, content",1.0,,,,,,
keyword,69fc8502ef3b485ee4bc2b46,newsapi_Apple_page_1.json,Omar Sohail,"A chip supply deficit is a situation that no company wants to face, especially when it hinders a popular products supply. Apple has witnessed tremendous success with the MacBook Neo launch, which sta… [+2423 chars]","A chip supply deficit is a situation that no company wants to face, especially when it hinders a popular product’s supply. Apple has witnessed tremendous success with the MacBook Neo launch, which starts from $599, and is reportedly facing A18 Pro chip supply…",json,2026-05-07 12:26:42.330000+00:00,2026-05-06 12:18:04+00:00,MacBook Neo Won’t Let Chromebooks Or Windows Laptops Take A Breather This Year As Apple Eyes Ambitious 10 Million Production Goal,https://wccftech.com/apple-asks-macbook-neo-suppliers-to-increase-production-to-10-million-units/,https://cdn.wccftech.com/wp-content/uploads/2026/05/MacBook-Neo-1.jpg,,Unknown,unknown,3.0,,,"A chip supply deficit is a situation that no company wants to face, especially when it hinders a popular product’s supply. Apple has witnessed tremendous success with the MacBook Neo launch, which starts from $599, and is reportedly facing A18 Pro chip supply…",2026-05-06 00:00:00+00:00,2026,apple,"Title: MacBook Neo Won’t Let Chromebooks Or Windows Laptops Take A Breather This Year As Apple Eyes Ambitious 10 Million Production Goal | Overview: A chip supply deficit is a situation that no company wants to face, especially when it hinders a popular product’s supply. Apple has witnessed tremendous success with the MacBook Neo launch, which starts from $599, and is reportedly facing A18 Pro chip supply… | Keywords: apple | Description: A chip supply deficit is a situation that no company wants to face, especially when it hinders a popular product’s supply. Apple has witnessed tremendous success with the MacBook Neo launch, which starts from $599, and is reportedly facing A18 Pro chip supply… | Content: A chip supply deficit is a situation that no company wants to face, especially when it hinders a popular products supply. Apple has witnessed tremendous success with the MacBook Neo launch, which sta… [+2423 chars] | Source: newsapi_Apple_page_1.json | Document Type: json | Language: unknown",8.0,"title, overview, description, content",2.0,,,,,,
keyword,69ed2b5ef527cb7a1c1159e2,newsapi_Apple_page_1.json,Juli Clover,"Apple is planning to start showing ads in the Apple Maps app this summer, and signs of ads have already shown up in the iOS 26.5 beta as Apple prepares to roll them out. Where Ads Show Up Ads will … [+1818 chars]","Apple is planning to start showing ads in the Apple Maps app this summer, and signs of ads have already shown up in the iOS 26.5 beta as Apple prepares to roll them out. Where Ads Show Up Ads will be displayed in the ‌Apple Maps‌ search interface. Dep…",json,2026-04-25 21:11:28.488000+00:00,2026-04-24 20:58:00+00:00,Ads Are Coming to Apple Maps This Summer: Here's What to Expect,https://www.macrumors.com/2026/04/24/apple-maps-ads-what-to-expect/,https://images.macrumors.com/t/L7-hmAsT-RaznAYtRRiKCEtcD40=/2330x/article-new/2026/03/Ads-Are-Coming-to-Apple-Maps-Feature.jpg,,Unknown,unknown,3.0,,,"Apple is planning to start showing ads in the Apple Maps app this summer, and signs of ads have already shown up in the iOS 26.5 beta as Apple prepares to roll them out. Where Ads Show Up Ads will be displayed in the ‌Apple Maps‌ search interface. Dep…",2026-04-24 00:00:00+00:00,2026,apple,"Title: Ads Are Coming to Apple Maps This Summer: Here's What to Expect | Overview: Apple is planning to start showing ads in the Apple Maps app this summer, and signs of ads have already shown up in the iOS 26.5 beta as Apple prepares to roll them out. Where Ads Show Up Ads will be displayed in the ‌Apple Maps‌ search interface. Dep… | Keywords: apple | Description: Apple is planning to start showing ads in the Apple Maps app this summer, and signs of ads have already shown up in the iOS 26.5 beta as Apple prepares to roll them out. Where Ads Show Up Ads will be displayed in the ‌Apple Maps‌ search interface. Dep… | Content: Apple is planning to start showing ads in the Apple Maps app this summer, and signs of ads have already shown up in the iOS 26.5 beta as Apple prepares to roll them out. Where Ads Show Up Ads will … [+1818 chars] | Source: newsapi_Apple_page_1.json | Document Type: json | Language: unknown",7.0,"title, overview, description, content",3.0,,,,,,
keyword,69ed2b5ef527cb7a1c1159f9,newsapi_Apple_page_2.json,Ryan Christoffel,"Friday Night Baseball is back on Apple TV tonight for a big doubleheader: Philadelphia Phillies at Atlanta Braves, and Chicago Cubs at LA Dodgers. Heres how to watch tonights MLB games on Apple TV. … [+1454 chars]","Friday Night Baseball is back on Apple TV tonight for a big doubleheader: Philadelphia Phillies at Atlanta Braves, and Chicago Cubs at LA Dodgers. Here’s how to watch tonight’s MLB games on Apple TV. more…",json,2026-04-25 21:11:28.511000+00:00,2026-04-24 20:20:08+00:00,How to watch Major League Baseball games Fridays on Apple TV,https://9to5mac.com/2026/04/24/how-to-watch-major-league-baseball-on-apple-tv-every-friday-night/,https://i0.wp.com/9to5mac.com/wp-content/uploads/sites/6/2024/02/mlb-app.jpg?resize=1200%2C628&quality=82&strip=all&ssl=1,,Unknown,unknown,3.0,,,"Friday Night Baseball is back on Apple TV tonight for a big doubleheader: Philadelphia Phillies at Atlanta Braves, and Chicago Cubs at LA Dodgers. Here’s how to watch tonight’s MLB games on Apple TV. more…",2026-04-24 00:00:00+00:00,2026,watch,"Title: How to watch Major League Baseball games Fridays on Apple TV | Overview: Friday Night Baseball is back on Apple TV tonight for a big doubleheader: Philadelphia Phillies at Atlanta Braves, and Chicago Cubs at LA Dodgers. Here’s how to watch tonight’s MLB games on Apple TV. more… | Keywords: watch | Description: Friday Night Baseball is back on Apple TV tonight for a big doubleheader: Philadelphia Phillies at Atlanta Braves, and Chicago Cubs at LA Dodgers. Here’s how to watch tonight’s MLB games on Apple TV. more… | Content: Friday Night Baseball is back on Apple TV tonight for a big doubleheader: Philadelphia Phillies at Atlanta Braves, and Chicago Cubs at LA Dodgers. Heres how to watch tonights MLB games on Apple TV. … [+1454 chars] | Source: newsapi_Apple_page_2.json | Document Type: json | Language: unknown",7.0,"title, overview, description, content",4.0,,,,,,
keyword,69ed2b5ef527cb7a1c115a0c,newsapi_Apple_page_3.json,"Erik Kain, Senior Contributor, Erik Kain, Senior Contributor https://www.forbes.com/sites/erikkain/","What to watch this weekend. Credit: Netflix / HBO / Independent Film Company Complicated relationships, creepy cults and action-packed new takes on The Most Dangerous Game. Love and murder. Spinoff… [+13637 chars]","Looking for something new to stream this weekend? Here’s every major new movie and show hitting Netflix, Hulu, Prime Video, Apple TV and more.",json,2026-04-25 21:11:28.531000+00:00,2026-04-24 20:00:19+00:00,"What To Watch This Weekend: New Shows And Movies To Stream On Netflix, Hulu, Prime Video, Apple TV And More",https://www.forbes.com/sites/erikkain/2026/04/24/what-to-watch-this-weekend-new-shows-and-movies-to-stream-on-netflix-hulu-prime-video-apple-tv-and-more/,https://imageio.forbes.com/specials-images/imageserve/69eba8ff6d66e456f7b36c1c/0x0.jpg?format=jpg&height=900&width=1600&fit=bounds,,Unknown,unknown,3.0,,,"Looking for something new to stream this weekend? Here’s every major new movie and show hitting Netflix, Hulu, Prime Video, Apple TV and more.",2026-04-24 00:00:00+00:00,2026,apple,"Title: What To Watch This Weekend: New Shows And Movies To Stream On Netflix, Hulu, Prime Video, Apple TV And More | Overview: Looking for something new to stream this weekend? Here’s every major new movie and show hitting Netflix, Hulu, Prime Video, Apple TV and more. | Keywords: apple | Description: Looking for something new to stream this weekend? Here’s every major new movie and show hitting Netflix, Hulu, Prime Video, Apple TV and more. | Content: What to watch this weekend. Credit: Netflix / HBO / Independent Film Company Complicated relationships, creepy cults and action-packed new takes on The Most Dangerous Game. Love and murder. Spinoff… [+13637 chars] | Source: newsapi_Apple_page_3.json | Document Type: json | Language: unknown",7.0,"title, overview, description, content",5.0,,,,,,
semantic,69fc8502ef3b485ee4bc2b6d,newsapi_Apple_page_3.json,"MacKenzie Sigalos, Jennifer Elias","Apple CEO Tim Cook gestures as he departs after a business leaders reception with the U.S. president on the sidelines of the World Economic Forum annual meeting in Davos on Jan. 21, 2026. For the fi… [+7356 chars]","Apple’s R&D spending has crossed 10% of revenue for the first time in at least 30 years, and increased twice as fast as sales in the latest quarter.",json,2026-05-07 12:26:42.432000+00:00,2026-05-06 12:00:01+00:00,Apple's R&D investments top 10% of sales as AI race creates 'sense of urgency',https://www.cnbc.com/2026/05/06/apples-rd-spending-climbs-to-10percent-of-revenue-on-ai-investments.html,https://image.cnbcfm.com/api/v1/image/108257566-1769524908735-gettyimages-2256932535-AFP_93L849E.jpeg?v=1773762797&w=1920&h=1080,,Unknown,unknown,3.0,,,"Apple’s R&D spending has crossed 10% of revenue for the first time in at least 30 years, and increased twice as fast as sales in the latest quarter.",2026-05-06 00:00:00+00:00,2026,apple,"Title: Apple's R&D investments top 10% of sales as AI race creates 'sense of urgency' | Overview: Apple’s R&D spending has crossed 10% of revenue for the first time in at least 30 years, and increased twice as fast as sales in the latest quarter. | Keywords: apple | Source: newsapi_Apple_page_3.json | Author: MacKenzie Sigalos, Jennifer Elias | Description: Apple’s R&D spending has crossed 10% of revenue for the first time in at least 30 years, and increased twice as fast as sales in the latest quarter. | Content: Apple CEO Tim Cook gestures as he departs after a business leaders reception with the U.S. president on the sidelines of the World Economic Forum annual meeting in Davos on Jan. 21, 2026. For the fi… [+7356 chars] | Document Type: json | Language: unknown | Primary Keyword: apple",,,,Apple leadership and product strategy,1.0,0.452528715133667,1.0,0.547471284866333,
semantic,69ed2e00f527cb7a1c115a90,newsapi_Apple_page_1.json,MacDailyNews,Apple’s incoming CEO John Ternus Incoming Apple CEO John Ternus could kick off his tenure with an ambitious push into smart home hardware. All signs point to a robust lineup of new Apple Home devic… [+2772 chars],Incoming Apple CEO John Ternus could kick off his tenure with an ambitious push into smart home hardware. All signs point to a robust lineup… The post Will incoming CEO John Ternus help realize Apple’s smart home potential? appeared first on MacDailyNews.,json,2026-04-25 21:11:28.488000+00:00,2026-04-24 21:05:23+00:00,Will incoming CEO John Ternus help realize Apple’s smart home potential?,https://macdailynews.com/2026/04/24/will-incoming-ceo-john-ternus-help-realize-apples-smart-home-potential/,https://macdailynews.com/wp-content/uploads/2026/04/260421_john_ternus.png,,Unknown,unknown,3.0,,,Incoming Apple CEO John Ternus could kick off his tenure with an ambitious push into smart home hardware. All signs point to a robust lineup… The post Will incoming CEO John Ternus help realize Apple’s smart home potential? appeared first on MacDailyNews.,2026-04-24 00:00:00+00:00,2026,apple,Title: Will incoming CEO John Ternus help realize Apple’s smart home potential? | Overview: Incoming Apple CEO John Ternus could kick off his tenure with an ambitious push into smart home hardware. All signs point to a robust lineup… The post Will incoming CEO John Ternus help realize Apple’s smart home potential? appeared first on MacDailyNews. | Keywords: apple | Source: newsapi_Apple_page_1.json | Author: MacDailyNews | Description: Incoming Apple CEO John Ternus could kick off his tenure with an ambitious push into smart home hardware. All signs point to a robust lineup… The post Will incoming CEO John Ternus help realize Apple’s smart home potential? appeared first on MacDailyNews. | Content: Apple’s incoming CEO John Ternus Incoming Apple CEO John Ternus could kick off his tenure with an ambitious push into smart home hardware. All signs point to a robust lineup of new Apple Home devic… [+2772 chars] | Document Type: json | Language: unknown | Primary Keyword: apple,,,,Apple leadership and product strategy,2.0,0.4622148871421814,2.0,0.5377851128578186,
semantic,69fc8502ef3b485ee4bc2b46,newsapi_Apple_page_1.json,Omar Sohail,"A chip supply deficit is a situation that no company wants to face, especially when it hinders a popular products supply. Apple has witnessed tremendous success with the MacBook Neo launch, which sta… [+2423 chars]","A chip supply deficit is a situation that no company wants to face, especially when it hinders a popular product’s supply. Apple has witnessed tremendous success with the MacBook Neo launch, which starts from $599, and is reportedly facing A18 Pro chip supply…",json,2026-05-07 12:26:42.330000+00:00,2026-05-06 12:18:04+00:00,MacBook Neo Won’t Let Chromebooks Or Windows Laptops Take A Breather This Year As Apple Eyes Ambitious 10 Million Production Goal,https://wccftech.com/apple-asks-macbook-neo-suppliers-to-increase-production-to-10-million-units/,https://cdn.wccftech.com/wp-content/uploads/2026/05/MacBook-Neo-1.jpg,,Unknown,unknown,3.0,,,"A chip supply deficit is a situation that no company wants to face, especially when it hinders a popular product’s supply. Apple has witnessed tremendous success with the MacBook Neo launch, which starts from $599, and is reportedly facing A18 Pro chip supply…",2026-05-06 00:00:00+00:00,2026,apple,"Title: MacBook Neo Won’t Let Chromebooks Or Windows Laptops Take A Breather This Year As Apple Eyes Ambitious 10 Million Production Goal | Overview: A chip supply deficit is a situation that no company wants to face, especially when it hinders a popular product’s supply. Apple has witnessed tremendous success with the MacBook Neo launch, which starts from $599, and is reportedly facing A18 Pro chip supply… | Keywords: apple | Source: newsapi_Apple_page_1.json | Author: Omar Sohail | Description: A chip supply deficit is a situation that no company wants to face, especially when it hinders a popular product’s supply. Apple has witnessed tremendous success with the MacBook Neo launch, which starts from $599, and is reportedly facing A18 Pro chip supply… | Content: A chip supply deficit is a situation that no company wants to face, especially when it hinders a popular products supply. Apple has witnessed tremendous success with the MacBook Neo launch, which sta… [+2423 chars] | Document Type: json | Language: unknown | Primary Keyword: apple",,,,Apple leadership and product strategy,3.0,0.5114345550537109,3.0,0.48856544494628906,
semantic,69ed2b5ef527cb7a1c115a08,newsapi_Apple_page_3.json,MacDailyNews,"Apple’s iPad Pro Steve Jobs introduced the iPad in 2010 not as a bigger iPhone or a sidekick to the Mac, but as a revolutionary third category of device a magical slate of glass that would usher in … [+5778 chars]","Steve Jobs introduced the iPad in 2010 not as a bigger iPhone or a sidekick to the Mac, but as a revolutionary “third category” of device… The post How John Ternus could finally fulfill Steve Jobs’ original vision for the iPad as a true primary computing devi…",json,2026-04-25 21:11:28.531000+00:00,2026-04-24 20:01:44+00:00,How John Ternus could finally fulfill Steve Jobs’ original vision for the iPad as a true primary computing device,https://macdailynews.com/2026/04/24/how-john-ternus-could-finally-fulfill-steve-jobs-original-vision-for-the-ipad-as-a-true-primary-computing-device/,https://macdailynews.com/wp-content/uploads/2025/10/251015_m5_ipad_pro_05.png,,Unknown,unknown,3.0,,,"Steve Jobs introduced the iPad in 2010 not as a bigger iPhone or a sidekick to the Mac, but as a revolutionary “third category” of device… The post How John Ternus could finally fulfill Steve Jobs’ original vision for the iPad as a true primary computing devi…",2026-04-24 00:00:00+00:00,2026,vision,"Title: How John Ternus could finally fulfill Steve Jobs’ original vision for the iPad as a true primary computing device | Overview: Steve Jobs introduced the iPad in 2010 not as a bigger iPhone or a sidekick to the Mac, but as a revolutionary “third category” of device… The post How John Ternus could finally fulfill Steve Jobs’ original vision for the iPad as a true primary computing devi… | Keywords: vision | Source: newsapi_Apple_page_3.json | Author: MacDailyNews | Description: Steve Jobs introduced the iPad in 2010 not as a bigger iPhone or a sidekick to the Mac, but as a revolutionary “third category” of device… The post How John Ternus could finally fulfill Steve Jobs’ original vision for the iPad as a true primary computing devi… | Content: Apple’s iPad Pro Steve Jobs introduced the iPad in 2010 not as a bigger iPhone or a sidekick to the Mac, but as a revolutionary third category of device a magical slate of glass that would usher in … [+5778 chars] | Document Type: json | Language: unknown | Primary Keyword: vision",,,,Apple leadership and product strategy,4.0,0.5628524422645569,4.0,0.4371475577354431,
semantic,69fc8502ef3b485ee4bc2b41,newsapi_Apple_page_1.json,Unknown,"moreWoot has discounted a new selection of open-box items, with big savings on Apple devices and MacBooks, smartwatches, laptops, vacuum cleaners, and more. They're all new, but won't ship in their o… [+163 chars]","Get deals on a large selection of tech and electronics in this sale at eBay. Even better, use promo code ""BRANDS4YOU"" at checkout to get an extra 20% off your order. Discounted brands include Apple, JBL, Anker, and Bose. Refurbs include 1- or 2-year warrantie…",json,2026-05-07 12:26:42.330000+00:00,2026-05-06 12:21:12+00:00,Tech Brand Outlet Deals at eBay: Up to 60% off + extra 20% off + free shipping,https://www.dealnews.com/Tech-Brand-Outlet-Deals-at-eBay-Up-to-60-off-extra-20-off-free-shipping/21826152.html,https://d.dlnws.com/64599/1778070055-red-apple-smartphone-front-back-xike.webp?h=1000&w=731,,Unknown,unknown,3.0,,,"Get deals on a large selection of tech and electronics in this sale at eBay. Even better, use promo code ""BRANDS4YOU"" at checkout to get an extra 20% off your order. Discounted brands include Apple, JBL, Anker, and Bose. Refurbs include 1- or 2-year warrantie…",2026-05-06 00:00:00+00:00,2026,apple,"Title: Tech Brand Outlet Deals at eBay: Up to 60% off + extra 20% off + free shipping | Overview: Get deals on a large selection of tech and electronics in this sale at eBay. Even better, use promo code ""BRANDS4YOU"" at checkout to get an extra 20% off your order. Discounted brands include Apple, JBL, Anker, and Bose. Refurbs include 1- or 2-year warrantie… | Keywords: apple | Source: newsapi_Apple_page_1.json | Author: Unknown | Description: Get deals on a large selection of tech and electronics in this sale at eBay. Even better, use promo code ""BRANDS4YOU"" at checkout to get an extra 20% off your order. Discounted brands include Apple, JBL, Anker, and Bose. Refurbs include 1- or 2-year warrantie… | Content: moreWoot has discounted a new selection of open-box items, with big savings on Apple devices and MacBooks, smartwatches, laptops, vacuum cleaners, and more. They're all new, but won't ship in their o… [+163 chars] | Document Type: json | Language: unknown | Primary Keyword: apple",,,,Apple leadership and product strategy,5.0,0.5729410648345947,5.0,0.4270589351654053,
hybrid,69fc8502ef3b485ee4bc2b46,newsapi_Apple_page_1.json,Omar Sohail,"A chip supply deficit is a situation that no company wants to face, especially when it hinders a popular products supply. Apple has witnessed tremendous success with the MacBook Neo launch, which sta… [+2423 chars]","A chip supply deficit is a situation that no company wants to face, especially when it hinders a popular product’s supply. Apple has witnessed tremendous success with the MacBook Neo launch, which starts from $599, and is reportedly facing A18 Pro chip supply…",json,2026-05-07 12:26:42.330000+00:00,2026-05-06 12:18:04+00:00,MacBook Neo Won’t Let Chromebooks Or Windows Laptops Take A Breather This Year As Apple Eyes Ambitious 10 Million Production Goal,https://wccftech.com/apple-asks-macbook-neo-suppliers-to-increase-production-to-10-million-units/,https://cdn.wccftech.com/wp-content/uploads/2026/05/MacBook-Neo-1.jpg,,Unknown,unknown,3.0,,,"A chip supply deficit is a situation that no company wants to face, especially when it hinders a popular product’s supply. Apple has witnessed tremendous success with the MacBook Neo launch, which starts from $599, and is reportedly facing A18 Pro chip supply…",2026-05-06 00:00:00+00:00,2026,apple,"Title: MacBook Neo Won’t Let Chromebooks Or Windows Laptops Take A Breather This Year As Apple Eyes Ambitious 10 Million Production Goal | Overview: A chip supply deficit is a situation that no company wants to face, especially when it hinders a popular product’s supply. Apple has witnessed tremendous success with the MacBook Neo launch, which starts from $599, and is reportedly facing A18 Pro chip supply… | Keywords: apple | Source: newsapi_Apple_page_1.json | Author: Omar Sohail | Description: A chip supply deficit is a situation that no company wants to face, especially when it hinders a popular product’s supply. Apple has witnessed tremendous success with the MacBook Neo launch, which starts from $599, and is reportedly facing A18 Pro chip supply… | Content: A chip supply deficit is a situation that no company wants to face, especially when it hinders a popular products supply. Apple has witnessed tremendous success with the MacBook Neo launch, which sta… [+2423 chars] | Document Type: json | Language: unknown | Primary Keyword: apple",,,,Apple leadership and product strategy,3.0,0.5114345550537109,3.0,0.48856544494628906,0.03200204813108039
hybrid,69f79537c7d32a5f5b914592,newsapi_Apple_page_3.json,Samantha Wiley,Two products will be given the Ultra branding by Apple this year. The upcoming foldable iPhone will receive the iPhone Ultra branding and will be the most expensive device in the iPhone line. The dev… [+690 chars],Two products will be given the Ultra branding by Apple this year. The upcoming foldable iPhone will receive the iPhone Ultra branding and will be the most expensive device in the iPhone line. The device will not be part of the upcoming line of the iPhone 18 P…,json,2026-05-03 18:38:11.099000+00:00,2026-05-02 16:43:48+00:00,Two New Ultra Products to be Released by Apple,https://www.ilounge.com/news/apple/two-new-ultra-products-to-be-released-by-apple,https://www.ilounge.com/wp-content/uploads/2026/05/image-2.png,,Unknown,unknown,3.0,,,Two products will be given the Ultra branding by Apple this year. The upcoming foldable iPhone will receive the iPhone Ultra branding and will be the most expensive device in the iPhone line. The device will not be part of the upcoming line of the iPhone 18 P…,2026-05-02 00:00:00+00:00,2026,apple,Title: Two New Ultra Products to be Released by Apple | Overview: Two products will be given the Ultra branding by Apple this year. The upcoming foldable iPhone will receive the iPhone Ultra branding and will be the most expensive device in the iPhone line. The device will not be part of the upcoming line of the iPhone 18 P… | Keywords: apple | Source: newsapi_Apple_page_3.json | Author: Samantha Wiley | Description: Two products will be given the Ultra branding by Apple this year. The upcoming foldable iPhone will receive the iPhone Ultra branding and will be the most expensive device in the iPhone line. The device will not be part of the upcoming line of the iPhone 18 P… | Content: Two products will be given the Ultra branding by Apple this year. The upcoming foldable iPhone will receive the iPhone Ultra branding and will be the most expensive device in the iPhone line. The dev… [+690 chars] | Document Type: json | Language: unknown | Primary Keyword: apple,,,,Apple leadership and product strategy,6.0,0.5744152665138245,6.0,0.42558473348617554,0.02964426877470356
hybrid,69f79537c7d32a5f5b914579,newsapi_Apple_page_1.json,John Voorhees,"Its a new month and its F1 season, which means its time for a roundup of everything coming to Apple TV and Apple Arcade in May 2026. This month were adding F1 and other sports airing on Apple TV thi… [+5328 chars]","It’s a new month and it’s F1 season, which means it’s time for a roundup of everything coming to Apple TV and Apple Arcade in May 2026. This month we’re adding F1 and other sports airing on Apple TV this month, starting with tomorrow’s Miami Grand Prix, and c…",json,2026-05-03 18:38:11.037000+00:00,2026-05-02 17:42:32+00:00,Coming Soon: What’s Next on Apple TV and Apple Arcade in May 2026,https://www.macstories.net/news/coming-soon-whats-next-on-apple-tv-and-apple-arcade-in-may-2026/,https://cdn.macstories.net/untitled-19-1777740921988.png,,Unknown,unknown,3.0,,,"It’s a new month and it’s F1 season, which means it’s time for a roundup of everything coming to Apple TV and Apple Arcade in May 2026. This month we’re adding F1 and other sports airing on Apple TV this month, starting with tomorrow’s Miami Grand Prix, and c…",2026-05-02 00:00:00+00:00,2026,apple,"Title: Coming Soon: What’s Next on Apple TV and Apple Arcade in May 2026 | Overview: It’s a new month and it’s F1 season, which means it’s time for a roundup of everything coming to Apple TV and Apple Arcade in May 2026. This month we’re adding F1 and other sports airing on Apple TV this month, starting with tomorrow’s Miami Grand Prix, and c… | Keywords: apple | Description: It’s a new month and it’s F1 season, which means it’s time for a roundup of everything coming to Apple TV and Apple Arcade in May 2026. This month we’re adding F1 and other sports airing on Apple TV this month, starting with tomorrow’s Miami Grand Prix, and c… | Content: Its a new month and its F1 season, which means its time for a roundup of everything coming to Apple TV and Apple Arcade in May 2026. This month were adding F1 and other sports airing on Apple TV thi… [+5328 chars] | Source: newsapi_Apple_page_1.json | Document Type: json | Language: unknown",8.0,"title, overview, description, content",1.0,,,,,,0.01639344262295082
hybrid,69fc8502ef3b485ee4bc2b6d,newsapi_Apple_page_3.json,"MacKenzie Sigalos, Jennifer Elias","Apple CEO Tim Cook gestures as he departs after a business leaders reception with the U.S. president on the sidelines of the World Economic Forum annual meeting in Davos on Jan. 21, 2026. For the fi… [+7356 chars]","Apple’s R&D spending has crossed 10% of revenue for the first time in at least 30 years, and increased twice as fast as sales in the latest quarter.",json,2026-05-07 12:26:42.432000+00:00,2026-05-06 12:00:01+00:00,Apple's R&D investments top 10% of sales as AI race creates 'sense of urgency',https://www.cnbc.com/2026/05/06/apples-rd-spending-climbs-to-10percent-of-revenue-on-ai-investments.html,https://image.cnbcfm.com/api/v1/image/108257566-1769524908735-gettyimages-2256932535-AFP_93L849E.jpeg?v=1773762797&w=1920&h=1080,,Unknown,unknown,3.0,,,"Apple’s R&D spending has crossed 10% of revenue for the first time in at least 30 years, and increased twice as fast as sales in the latest quarter.",2026-05-06 00:00:00+00:00,2026,apple,"Title: Apple's R&D investments top 10% of sales as AI race creates 'sense of urgency' | Overview: Apple’s R&D spending has crossed 10% of revenue for the first time in at least 30 years, and increased twice as fast as sales in the latest quarter. | Keywords: apple | Source: newsapi_Apple_page_3.json | Author: MacKenzie Sigalos, Jennifer Elias | Description: Apple’s R&D spending has crossed 10% of revenue for the first time in at least 30 years, and increased twice as fast as sales in the latest quarter. | Content: Apple CEO Tim Cook gestures as he departs after a business leaders reception with the U.S. president on the sidelines of the World Economic Forum annual meeting in Davos on Jan. 21, 2026. For the fi… [+7356 chars] | Document Type: json | Language: unknown | Primary Keyword: apple",,,,Apple leadership and product strategy,1.0,0.452528715133667,1.0,0.547471284866333,0.01639344262295082
hybrid,69ed2e00f527cb7a1c115a90,newsapi_Apple_page_1.json,MacDailyNews,Apple’s incoming CEO John Ternus Incoming Apple CEO John Ternus could kick off his tenure with an ambitious push into smart home hardware. All signs point to a robust lineup of new Apple Home devic… [+2772 chars],Incoming Apple CEO John Ternus could kick off his tenure with an ambitious push into smart home hardware. All signs point to a robust lineup… The post Will incoming CEO John Ternus help realize Apple’s smart home potential? appeared first on MacDailyNews.,json,2026-04-25 21:11:28.488000+00:00,2026-04-24 21:05:23+00:00,Will incoming CEO John Ternus help realize Apple’s smart home potential?,https://macdailynews.com/2026/04/24/will-incoming-ceo-john-ternus-help-realize-apples-smart-home-potential/,https://macdailynews.com/wp-content/uploads/2026/04/260421_john_ternus.png,,Unknown,unknown,3.0,,,Incoming Apple CEO John Ternus could kick off his tenure with an ambitious push into smart home hardware. All signs point to a robust lineup… The post Will incoming CEO John Ternus help realize Apple’s smart home potential? appeared first on MacDailyNews.,2026-04-24 00:00:00+00:00,2026,apple,Title: Will incoming CEO John Ternus help realize Apple’s smart home potential? | Overview: Incoming Apple CEO John Ternus could kick off his tenure with an ambitious push into smart home hardware. All signs point to a robust lineup… The post Will incoming CEO John Ternus help realize Apple’s smart home potential? appeared first on MacDailyNews. | Keywords: apple | Source: newsapi_Apple_page_1.json | Author: MacDailyNews | Description: Incoming Apple CEO John Ternus could kick off his tenure with an ambitious push into smart home hardware. All signs point to a robust lineup… The post Will incoming CEO John Ternus help realize Apple’s smart home potential? appeared first on MacDailyNews. | Content: Apple’s incoming CEO John Ternus Incoming Apple CEO John Ternus could kick off his tenure with an ambitious push into smart home hardware. All signs point to a robust lineup of new Apple Home devic… [+2772 chars] | Document Type: json | Language: unknown | Primary Keyword: apple,,,,Apple leadership and product strategy,2.0,0.4622148871421814,2.0,0.5377851128578186,0.016129032258064516
